# Deutsches Sprachdatei für Wippien
# Author: torsten.wagner@vnc-world.com
# Version: 1
Keine Fehler.  ## No error.
Zurzeit versteckte Kontakte  ## Currently hidden contacts
Alle hier aufgelisteten Kontakte werden NIE in Wippien erscheinen. Sie existieren nicht mehr für Sie. So können Sie Personen komplett ignorieren.  ## All contacts listed here *NEVER* appear in Wippien.. They don't exist for you anymore. This way you can ignore people completely.
Kontakt verstecken  ## Hide contact
Wähle Kontakt JID  ## Enter contact JID
Jeden Datenv. erlauben  ## Allow all traffic
Jeden Datenv. verbieten  ## Block all traffic
Hinzufügen  ## &Add
Verschieben  ## &Remove
Empfohlene Einstellung  ## Default rule
Avatarbild  ## Avatar picture
Name  ## Name
IP Adresse  ## IP address
Hinweis  ## Status text
zuletzt online  ## Last online time
Aktivitätsanzeige  ## Activity Monitor
Ersichtliche Details  ## Visible details
Ersichtliche Kontakdaten  ## Contact's visible details
unsortiert  ## unsorted
nach Namen  ## By name
nach JID Bezeichnung  ## By JID
nach IP Adresse (ohne IP am Ende)  ## by IP (without IP goes bottom)
nach IP Adresse (ohne IP am Anfang)  ## by IP (without IP goes top)
Kontaktdaten sortieren  ## Sort contact list
Rufname der Chatraums  ## Nickname for chatrooms
Zeige die möglichen Räume auf den nachfolgenden Gateways an.  ## Show available rooms on following gateways
Einen neuen Raum oben auswählen. Infos sehen Sie unten.  ## Click above to select room, or enter new chat room details below
Raumname eingeben oder aufrufen  ## Room name to create or join
Passwort (leer lassen wenn keines verwendet wird)  ## Password (empty if none)
Gateway  ## Gateway
Erstellen Sie oder wechseln sie zu einem Chatraum  ## Join or Create room
Sperre Benutzer von Anfangan  ## Block users at startup
Kopiere IP  ## &Copy IP
Chat  ## C&hat
Sprachchat  ## &Voice Chat
Datei übertragen  ## Send &File
E-Mail senden  ## Send E&mail
Sperren  ## &Block
Umbenennen  ## &Rename
Löschen  ## &Delete
Details  ## De&tails
Hinzufügen/Löschen Konto  ## Add/Remove &Accounts
Hinzufügen/Löschen Kontakte  ## Add/Remove &Contacts
Online  ## &Online
Nicht anwesend  ## &Away
Chat möglich  ## Free for &Chat
Bitte nicht stören  ## &Do not Disturb
Länger abwesend  ## E&xtended Away
Zu sehen  ## &Invisible
Offline  ## O&ffline
Bild austauschen  ## Change &Picture
Passwort ändern  ## Change Pa&ssword
Ihre Daten  ## Your &Details
Passphrase eingeben  ## Enter Passphrase
Passwort eingeben  ## Enter password
Bitte Passwort eingeben  ## Please enter protect password
Sprachen  ## Languages
Sprachensetup die in Wippien verwendet wird.  ## Setup language used in all Wippien texts.
Neue Sprachen können hinzugefügt werden.  ## New languages may appear periodically.
Die nachfolgenden möglichen Sprachdateien wurden auf dem Computer gefunden  ## Following languages are found as available on local computer
Veränderungen  ## &Change
am lokalen Computer verwendet  ## Locale used on local computer
Zurzeit verwendete Sprachdatei  ## Currently used language
Die Veränderungen wurden als notwendig angesehen. Sie sollten Wippien neu starten damit die Änderungen wirksam werden.  ## Changes will take affect on 'as needed' basis. You should restart Wippien if you want to see full change.
Neue Sprachdatei ist verfügbar.  ## New language files available. Download?
Das Verbindungsfenster wird angezeigt wenn der Kontakt online oder offline geht  ## Show notification popup window when contact goes online/offline
Die Verbindung wählt sich ein ...  ## Contact is typing...
sagt  ## says
sagte  ## said
